AnoMes,qtdCartoesEmitidos,qtdCartoesAtivos,qtdTransacoesNacionais,valorTransacoesNacionais,qtdTransacoesInternacionais,valorTransacoesInternacionais
2011-02,10411323,3615083,40323226,218312857382.0,9,44149.0
2011-02,589417,325238,6552377,85008543192.0,319249,6074276893.0
2011-02,25952925,12770977,118292036,780838143019.0,69965,510483804.0
2011-02,1789196,61470,534972,3974575776.0,0,0.0
2011-02,677524,398100,8545379,126300693535.0,799588,31218350869.0
2011-02,238694,143862,4672953,72422532642.0,306207,7536078282.0
2011-02,1289977,699757,12154252,86699035325.0,19,85249.0
2011-02,837141,410924,4856249,34557656737.0,10893,261632651.0
2011-02,402800,159985,45804,1888479798.0,0,0.0
2011-02,991509,498420,6100347,65720527341.0,156275,2183928379.0
2011-02,47358,6667,94053,497602989.0,0,0.0
2011-02,2654898,1057192,23078880,132206941957.0,0,0.0
2011-02,793642,301324,4368252,86308806329.0,145561,5910740805.0
2011-02,1293091,902731,9293640,66261771877.0,36,1483776.0
2011-02,72598,25674,39288,237549552.0,0,0.0
2011-02,343196,238537,3262771,5202565977.0,122636,324449420.0
2011-02,4739453,1415748,11824242,100562744006.0,2226,10953106.0
2011-02,6373759,4284497,82346274,993229985849.0,3243861,61328995937.0
2011-02,10620590,3979237,26244964,228048420921.0,5807,25973061.0
2011-02,1192263,717039,14354232,116889703594.0,11,48051.0
2011-02,49668,23519,642850,2240052311.0,29330,1452441279.0
2011-02,336831,108914,639197,1510050306.0,1371,8310186.0
2011-02,6853,596,1921,29532445.0,5,269732.0
2011-02,22270,24,77,1366229.0,1,67766.0
2011-02,1521,971,26538,79167357.0,4853,286903614.0
2011-02,71499,4281,15499,42099768.0,0,0.0
2011-02,203895,131163,5142945,88245649059.0,345399,12961876934.0
2011-02,2506908,1179340,7835587,66596781423.0,30691,352031262.0
2011-02,86394557,29293163,313300919,1651752352923.0,130821,2442008838.0
2011-02,15716,6166,144455,1318990688.0,6155,131943153.0
2011-02,2532656,1496871,36607943,470841463232.0,1566973,3356406194.0
2011-02,17116611,9214110,122159476,1066068998474.0,3362009,36991259857.0
2011-02,270946,150984,4865049,79574369714.0,339219,9079010473.0
2011-02,1312807,299486,1510167,8788534485.0,0,0.0
2011-02,91155,71416,955793,1515136684.0,34289,914201337.0
2011-02,2394584,747471,8439488,43767292953.0,146,1980116.0
2011-02,2205558,1310104,17913284,16004559123.0,786524,18379409577.0
2011-02,1224309,739861,6106989,28666489532.0,32712,28016675.0
2011-02,1505644,588098,9010686,168016811361.0,308837,11611493096.0
2011-02,155634,86205,1635174,15341183113.0,2,10163.0
2011-02,4892885,3219510,53221563,643140350833.0,1853171,33039393638.0
2011-02,1016219,416008,5235674,54275762808.0,4,20412.0
2011-02,27402,12125,146050,68092994.0,0,0.0
2011-02,634,442,7389,19565515.0,272,1287626.0
2011-02,10054681,6921984,35399902,379511069391.0,1,23473.0
2011-02,9007730,5300513,53801257,54727727531.0,0,0.0
2011-02,56221,13018,239852,2404978442.0,1449,251257151.0
2011-02,227666,106512,366995,13417322598.0,17824,738701278.0
2011-02,936,615,204,11915153.0,0,0.0
2011-02,129481850,44157966,397014216,2117788136775.0,171769,1606462084.0
2011-02,695,349,6200,160946831.0,435,38238004.0
